id,product_name,segment,family,class,brick
800,Black Olive Strips Moxed Foods,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
840,Nescaf 100g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
841,Tabarak vegetables 350 gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
851,Sunshine Tuna Hot Cut,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
920,Isis Cummins Lemon 25,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1043,Bonjorno Cappuccino Nut 5 3.50 17.50,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1044,Whole sweet corn. 400g.,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1051,Cranchy Sweet Pepper Family 86g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1081,Nescafe Espresso 25 Pods 7 gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1123,Hans Instant Coffee - Cappuccino,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1168,Bonjourno Coffee Mix 12 Envelopes,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1186,FQS Denuclearized Greek Green Olives 360g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1187,Dried Molokhia 500g Approx. Weight,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1194,Super Light Roast Coffee - 100 Gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1294,2.2 Litres Turkish Fishar,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
1313,"One piece T.C. Boy tuna, 200g",Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
1345,Sundried Tomatoes - 200 gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1355,Coffee 200g per pack,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1401,Rooibos - 16 Sachet,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1427,Montana Okra 400 Gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1448,Al Daha Barthman Blended Peppers 220 gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1450,Fisherman Tuna Solid Olive Oil Brine 170g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
1467,Cabbage Chips Bravo - 50g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1469,Shaheen Coffee light coral 200 gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
1479,Eggplant Bride Weight,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1496,Tiger Big Peppers 17-160,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1601,Pescato Digesta Mini - 4 Pieces - 12 Pack,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
1746,Raw Kettle Cooked Potatoes With Salt 125 Gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
1767,Garm Frites Potatoes,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
